Title,Genre,Year,Rating,Duration,Views
The Last Signal,Sci-Fi,2022,8.4,128,920000
Hidden Truth,Thriller,2021,7.8,115,680000
Beyond Earth,Sci-Fi,2023,9.1,142,1250000
Summer Days,Drama,2020,7.2,105,430000
Digital Life,Documentary,2024,8.7,98,810000
The Final Game,Action,2022,8.0,121,970000
Ocean Mystery,Adventure,2021,7.6,116,560000
City Lights,Drama,2019,7.9,110,720000
Future Code,Sci-Fi,2024,8.9,134,1180000
Laugh Again,Comedy,2023,7.4,102,650000
The Forgotten Road,Thriller,2020,8.2,127,840000
Wild Planet,Documentary,2022,8.6,91,1030000
Parallel Worlds,Sci-Fi,2023,9.2,149,1500000
One More Chance,Drama,2021,7.7,108,590000
Mission Zero,Action,2024,8.3,132,1110000
The Great Escape,Adventure,2018,8.1,124,760000
Family Weekend,Comedy,2022,7.0,96,470000
Inside the Machine,Documentary,2023,8.8,105,880000
Dark Horizon,Thriller,2024,8.5,119,930000
The Blue Planet,Documentary,2019,8.3,112,690000
Robot Dreams,Sci-Fi,2020,7.9,118,610000
Chasing Summer,Comedy,2021,7.3,101,520000
Mountain Heart,Adventure,2022,8.0,126,730000
The Silent Room,Thriller,2023,8.6,113,990000
Second Horizon,Drama,2024,7.5,109,570000
Code Breakers,Action,2021,8.7,137,1160000
The Hidden Ocean,Adventure,2020,7.8,120,540000
Tomorrow's World,Sci-Fi,2024,8.9,130,1320000
A Simple Life,Drama,2018,7.1,94,390000
Laughing Matters,Comedy,2020,7.6,99,580000
